n;mae
101;0,18328404
102;0,184252393
103;0,185072406
104;0,184095327
105;0,185593922
106;0,188877178
107;0,188807535
108;0,186008885
109;0,181063892
110;0,181336811
111;0,18105581
112;0,181010145
113;0,180987091
114;0,181923442
115;0,179821173
116;0,177261346
117;0,175118979
118;0,172987948
119;0,1691271
120;0,169554418
121;0,172573103
122;0,172589535
123;0,17065843
124;0,170707093
125;0,168193857
126;0,168196554
127;0,168100085
128;0,167403251
129;0,169990136
130;0,169678789
131;0,171995063
132;0,166623181
133;0,166377882
134;0,165438943
135;0,161439254
136;0,16141035
137;0,165044909
138;0,167047771
139;0,168180056
140;0,171752343
141;0,175533071
142;0,173656601
143;0,171412192
144;0,167508966
145;0,163805427
146;0,161847491
147;0,161051913
148;0,157632973
149;0,157624782
150;0,158184133
151;0,160795267
152;0,162605222
153;0,16467774
154;0,1667805
155;0,164927221
156;0,16147028
157;0,160059459
158;0,164580963
159;0,164840814
160;0,16067292
161;0,160828537
162;0,15713139
163;0,157577935
164;0,15843796
165;0,162395836
166;0,157963418
167;0,157112219
168;0,158149317
169;0,160197081
170;0,162356543
171;0,166707755
172;0,166853492
173;0,164559078
174;0,159937514
175;0,161052046
176;0,161086334
177;0,160628574
178;0,159075856
179;0,162517873
180;0,159568074
181;0,15801053
182;0,157963733
183;0,153176597
184;0,156599578
185;0,155009577
186;0,155001897
187;0,15882709
188;0,157544942
189;0,158376657
190;0,156243252
191;0,157999618
192;0,155504198
193;0,157325877
194;0,156424502
195;0,15639271
196;0,153051207
197;0,151221553
198;0,152968263
199;0,150056265
200;0,153346925
201;0,154285494
202;0,1510675
203;0,148816717
204;0,148502676
205;0,147335048
206;0,144077829
207;0,144205512
208;0,144808222
209;0,144891348
210;0,147158276
211;0,147353259
212;0,147428797
213;0,147584934
214;0,144781464
215;0,148902916
216;0,148107602
217;0,14808813
218;0,147741223
219;0,14971193
220;0,150281119
221;0,149175558
222;0,147196089
223;0,150602786
224;0,153723621
225;0,155245959
226;0,157374174
227;0,160679643
228;0,161912134
229;0,159044168
230;0,161796588
231;0,161181189
232;0,161179683
233;0,159089536
234;0,159078091
235;0,161466032
236;0,159720543
237;0,153737554
238;0,151700769
239;0,147386518
240;0,146367268
241;0,142515041
242;0,142546019
243;0,146589591
244;0,14727389
245;0,147264521
246;0,146197643
247;0,146796571
248;0,1467477
249;0,147202929
250;0,144953053
251;0,144051089
252;0,145844556
253;0,145895979
254;0,14302006
255;0,146352965
256;0,150359694
257;0,153703396
258;0,149183431
259;0,150736041
260;0,15300586
261;0,153341957
262;0,152966905
263;0,157315836
264;0,154507037
265;0,15050014
266;0,150568019
267;0,150581198
268;0,152286298
269;0,149142897
270;0,150569356
271;0,146201189
272;0,148494284
273;0,15274617
274;0,153185391
275;0,154537883
276;0,156560132
277;0,160316963
278;0,162330728
279;0,161849013
280;0,160538546
281;0,160541105
282;0,164548595
283;0,166419158
284;0,164131911
285;0,164013831
286;0,169036525
287;0,170697055
288;0,175291081
289;0,174355099
290;0,174393824
291;0,174158167
292;0,175668498
293;0,179383773
294;0,17691621
295;0,181539407
296;0,183380071
297;0,183398132
298;0,18180421
299;0,181802314
300;0,180135156
301;0,179431951
302;0,179419416
303;0,184466799
304;0,184418165
305;0,183834764
306;0,186661845
307;0,186560811
308;0,186283018
309;0,188445367
310;0,186065428
311;0,185159241
312;0,186137883
313;0,188802965
314;0,190926338
315;0,191181474
316;0,193222004
317;0,194925708
318;0,198152451
319;0,199283793
320;0,196988441
321;0,196983574
322;0,198377422
323;0,197658474
324;0,194493823
325;0,196715073
326;0,194602651
327;0,189533153
328;0,186042476
329;0,186242676
330;0,185518674
331;0,187387835
332;0,187438694
333;0,188100731
334;0,191004579
335;0,190271288
336;0,191258369
337;0,193299587
338;0,193303776
339;0,193632435
340;0,192835181
341;0,192899248
342;0,195827197
343;0,197964729
344;0,197035155
345;0,197026719
346;0,194320682
347;0,197377888
348;0,198910933
349;0,20108368
350;0,203741772
351;0,201596993
352;0,197961332
353;0,200656435
354;0,201799981
355;0,201195526
356;0,196793738
357;0,19462313
358;0,194646653
359;0,198192381
360;0,195876034
361;0,197880198
362;0,197890036
363;0,196618952
364;0,198282068
365;0,202544241
366;0,202529176
367;0,202451658
368;0,202101337
369;0,204889556
370;0,201201477
371;0,20124656
372;0,200547042
373;0,198733044
374;0,200609117
375;0,197525322
376;0,197737268
377;0,197628365
378;0,199144927
379;0,198942297
380;0,199073172
381;0,199169505
382;0,199108447
383;0,201395155
384;0,203488146
385;0,205289605
386;0,200330822
387;0,198366532
388;0,197452284
389;0,200417923
390;0,200380064
391;0,200824362
392;0,199280094
393;0,196269914
394;0,196272944
395;0,19164719
396;0,191591408
397;0,19419915
398;0,194061644
399;0,194170692
400;0,193964176
401;0,19379344
402;0,193767296
403;0,191024999
404;0,191361535
405;0,192681817
406;0,189837059
407;0,192625399
408;0,195777456
409;0,193525417
410;0,193161534
411;0,192201593
412;0,191152522
413;0,18833516
414;0,188112448
415;0,187691878
416;0,185642652
417;0,187070188
418;0,18383276
419;0,179139199
420;0,177788291
421;0,175897164
422;0,174516081
423;0,169383984
424;0,169395353
425;0,165958979
426;0,165943034
427;0,165933685
428;0,166075201
429;0,165862389
430;0,163604971
431;0,159643101
432;0,161085132
433;0,160434693
434;0,159812345
435;0,160126463
436;0,158861776
437;0,156813721
438;0,156957159
439;0,156630988
440;0,154821113
441;0,156564666
442;0,153572885
443;0,147381228
444;0,145573544
445;0,145602897
446;0,145593008
447;0,141928191
448;0,145162634
449;0,142541931
450;0,13849563
451;0,138502159
452;0,140153696
453;0,13725408
454;0,136105637
455;0,133229903
456;0,131485248
457;0,12975775
458;0,132136993
459;0,131692259
460;0,135437926
461;0,132680963
462;0,13526903
463;0,134628084
464;0,13485092
465;0,130806464
466;0,134638039
467;0,136536485
468;0,136149198
469;0,135565472
470;0,136113186
471;0,138050034
472;0,140534273
473;0,140048753
474;0,141917699
475;0,143528558
476;0,143800437
477;0,140550403
478;0,139148619
479;0,136092417
480;0,138841455
481;0,140590613
482;0,138792247
483;0,135012427
484;0,136593295
485;0,137750841
486;0,141896592
487;0,140832541
488;0,141493201
489;0,139326695
490;0,142944593
491;0,145623481
492;0,151740265
493;0,14924175
494;0,15278117
495;0,156316062
496;0,157972906
497;0,158948987
498;0,15891037
499;0,158799916
500;0,155281804
501;0,15714471
502;0,158871878
503;0,156679362
504;0,156230954
505;0,158957182
506;0,16148473
507;0,158686978
508;0,158415106
509;0,15840742
510;0,160448227
511;0,166569713
512;0,167922737
513;0,174320055
514;0,175008872
515;0,172955047
516;0,172957426
517;0,175663871
518;0,180293048
519;0,182967406
520;0,182968977
521;0,182955228
522;0,182942482
523;0,18294018
524;0,186121985
525;0,18748666
526;0,187501028
527;0,187555218
528;0,188815745
529;0,186797653
530;0,188884214
531;0,1912353
532;0,191785818
533;0,194106718
534;0,191833569
535;0,191641091
536;0,191791046
537;0,191978425
538;0,191852457
539;0,193994712
540;0,197905295
541;0,196080348
542;0,196081426
543;0,198592985
544;0,201679912
545;0,202075378
546;0,202075157
547;0,202081898
548;0,197370004
549;0,197359913
550;0,197356459
551;0,197383149
552;0,197043271
553;0,196749622
554;0,19676502
555;0,197141458
556;0,197388555
557;0,199982254
558;0,2022999
559;0,197400906
560;0,19675085
561;0,196777753
562;0,199643474
563;0,199800843
564;0,20060431
565;0,203646035
566;0,200004557
567;0,20139923
568;0,199164547
569;0,195812193
570;0,196491544
571;0,197395803
572;0,193628007
573;0,193815389
574;0,189653486
575;0,18805796
576;0,187408437
577;0,191171941
578;0,192371442
579;0,198307481
580;0,199696588
581;0,203233223
582;0,20578724
583;0,207533931
584;0,202357649
585;0,199143823
586;0,198006012
587;0,197563475
588;0,194344165
589;0,196767384
590;0,196068362
591;0,197000713
592;0,190876862
593;0,190822943
594;0,187333319
595;0,185147149
596;0,1816542
597;0,18139926
598;0,182536903
599;0,182550757
600;0,1825547
601;0,180664175
602;0,179029188
603;0,180531112
604;0,182162493
605;0,178069849
606;0,178927731
607;0,18250347
608;0,180923238
609;0,181254285
610;0,180810095
611;0,174696674
612;0,173510135
613;0,167512459
614;0,164957518
615;0,163808021
616;0,163917385
617;0,161771413
618;0,157149598
619;0,157923813
620;0,158290453
621;0,159642313
622;0,162835823
623;0,164758528
624;0,1615764
625;0,15988882
626;0,159885877
627;0,164035005
628;0,165078524
629;0,165058364
630;0,16294848
631;0,164006366
632;0,161984655
633;0,159864387
634;0,161671125
635;0,160204684
636;0,163459606
637;0,163555007
638;0,164043527
639;0,162229842
640;0,158341136
641;0,158346269
642;0,158349386
643;0,158159815
644;0,155321328
645;0,159322751
646;0,161040817
647;0,163400699
648;0,16553694
649;0,16900456
650;0,172733811
651;0,172854304
652;0,171731779
653;0,174655079
654;0,179176954
655;0,181966585
656;0,186125299
657;0,183515143
658;0,180381651
659;0,183383089
660;0,183202421
661;0,186646286
662;0,18375638
663;0,180774138
664;0,178406206
665;0,177315006
666;0,177244872
667;0,179237313
668;0,179419783
669;0,180975729
670;0,178047102
671;0,180108462
672;0,181601742
673;0,179460047
674;0,185601068
675;0,185578743
676;0,183631858
677;0,179481949
678;0,180614649
679;0,174692077
680;0,17057467
681;0,1694431
682;0,164889122
683;0,162811662
684;0,16280559
685;0,162785923
686;0,160060627
687;0,157862692
688;0,15716711
689;0,152085874
690;0,149184729
691;0,145908374
692;0,150280812
693;0,151908989
694;0,153214727
695;0,151864514
696;0,154204646
697;0,150848872
698;0,151636733
699;0,151628179
700;0,154844051
701;0,154805858
702;0,154733733
703;0,153163976
704;0,150160385
705;0,14984609
706;0,148441272
707;0,145108795
708;0,146755826
709;0,150161024
710;0,152135344
711;0,152146145
712;0,156092416
713;0,157834938
714;0,160452233
715;0,159779277
716;0,161452836
717;0,160150681
718;0,162604634
719;0,159155651
720;0,1612475
721;0,15989764
722;0,15670963
723;0,154796925
724;0,158382458
725;0,158364341
726;0,158353444
727;0,154257618
728;0,152424445
729;0,156920476
730;0,159450488
731;0,160162064
732;0,160145312
733;0,163698812
734;0,161882838
735;0,166136879
736;0,162871385
737;0,162593702
738;0,163961406
739;0,163968163
740;0,16545955
741;0,167064074
742;0,168358115
743;0,166020932
744;0,168452282
745;0,165731239
746;0,166202402
747;0,167527458
748;0,165299755
749;0,165838516
750;0,162120709
751;0,161981878
752;0,161893313
753;0,161960382
754;0,157450081
755;0,154408452
756;0,150097374
757;0,15040553
758;0,149174983
759;0,146168838
760;0,14789837
761;0,144667183
762;0,146775855
763;0,147015593
764;0,146682547
765;0,148653693
766;0,151195799
767;0,149241702
768;0,149186373
769;0,146185164
770;0,148059829
771;0,145480354
772;0,143489607
773;0,143589893
774;0,140049928
775;0,142816997
776;0,142828807
777;0,144545425
778;0,144674621
779;0,146210312
780;0,145857462
781;0,144825638
782;0,148186184
783;0,148243187
784;0,151050939
785;0,154347181
786;0,153997163
787;0,154159384
788;0,155626851
789;0,158414584
790;0,16228919
791;0,159969354
792;0,157741032
793;0,156288384
794;0,154952072
795;0,157549253
796;0,155151221
797;0,160172345
798;0,158446738
799;0,158460679
800;0,155736156
801;0,158005892
802;0,161743238
803;0,166079413
804;0,168975653
805;0,170704597
806;0,168720071
807;0,170766227
808;0,166763992
809;0,167523038
810;0,16670876
811;0,16685023
812;0,162695122
813;0,162525935
814;0,161736013
815;0,163357853
816;0,16560117
817;0,163213767
818;0,163586937
819;0,163634669
820;0,164599194
821;0,167884369
822;0,170713058
823;0,171206149
824;0,16777713
825;0,167818155
826;0,171705115
827;0,171657537
828;0,171068
829;0,166676761
830;0,166454569
831;0,162793338
832;0,16871878
833;0,165473383
834;0,16962739
835;0,169688165
