n;mae
101;0,115928543
102;0,115929685
103;0,11762498
104;0,117538345
105;0,117465341
106;0,118143763
107;0,118777349
108;0,118775353
109;0,115214016
110;0,107058074
111;0,106988308
112;0,106991768
113;0,106980528
114;0,106974972
115;0,107071888
116;0,106376955
117;0,105810615
118;0,10515967
119;0,104686221
120;0,097179363
121;0,098697572
122;0,099397481
123;0,099430293
124;0,099486624
125;0,099483104
126;0,098921556
127;0,098916393
128;0,098717934
129;0,094908196
130;0,10045323
131;0,100458594
132;0,101150267
133;0,093179721
134;0,093250303
135;0,093209645
136;0,091326983
137;0,091313153
138;0,099139701
139;0,099932392
140;0,106313793
141;0,106980824
142;0,107852567
143;0,107121007
144;0,106460862
145;0,104815072
146;0,104122789
147;0,100805076
148;0,100815335
149;0,100193445
150;0,100164014
151;0,098140096
152;0,098912608
153;0,099548033
154;0,100140741
155;0,10599868
156;0,105283927
157;0,099521875
158;0,098976337
159;0,104932495
160;0,104937309
161;0,104308205
162;0,104251522
163;0,098609822
164;0,098613469
165;0,098514412
166;0,099510908
167;0,098749833
168;0,098774151
169;0,09879918
170;0,106154526
171;0,111217433
172;0,111942839
173;0,111944868
174;0,111271673
175;0,104975975
176;0,105552326
177;0,105553496
178;0,105483773
179;0,103358951
180;0,104018651
181;0,103799526
182;0,103259105
183;0,103274706
184;0,097825426
185;0,098828496
186;0,098345267
187;0,09834782
188;0,102380723
189;0,101668479
190;0,101984918
191;0,101390897
192;0,102137261
193;0,101613036
194;0,102208762
195;0,102214126
196;0,102199848
197;0,101622134
198;0,099563758
199;0,101640885
200;0,101226519
201;0,108297284
202;0,108979285
203;0,104716314
204;0,104133749
205;0,104294323
206;0,104339245
207;0,103707009
208;0,103697043
209;0,104353852
210;0,104372797
211;0,107343984
212;0,107445493
213;0,107459638
214;0,107475038
215;0,10691079
216;0,109671648
217;0,109629531
218;0,109627856
219;0,10962571
220;0,110894049
221;0,108695615
222;0,108621787
223;0,107998818
224;0,116129117
225;0,12105144
226;0,121667967
227;0,122246649
228;0,128398517
229;0,129020459
230;0,123617518
231;0,124300496
232;0,124326305
233;0,124373324
234;0,123712885
235;0,123713492
236;0,124132022
237;0,123442798
238;0,114900774
239;0,114094395
240;0,107013594
241;0,106955105
242;0,106084091
243;0,106100377
244;0,111746722
245;0,111969809
246;0,111964183
247;0,108444346
248;0,108462718
249;0,108461372
250;0,108466777
251;0,108332625
252;0,10804513
253;0,108434003
254;0,108509293
255;0,102647319
256;0,108890466
257;0,109880506
258;0,11154085
259;0,105581367
260;0,106209205
261;0,107303795
262;0,107358288
263;0,107336087
264;0,10888983
265;0,108334972
266;0,10733691
267;0,107337648
268;0,10731996
269;0,113544457
270;0,10606872
271;0,107650255
272;0,10692539
273;0,107640341
274;0,108360346
275;0,108347467
276;0,108713385
277;0,109478282
278;0,110262102
279;0,110760322
280;0,113988294
281;0,11347228
282;0,113468493
283;0,114159068
284;0,114708043
285;0,11425283
286;0,114285762
287;0,114994535
288;0,112127812
289;0,113032385
290;0,112690234
291;0,112696453
292;0,113434268
293;0,114128268
294;0,119788092
295;0,119247461
296;0,12075621
297;0,121537727
298;0,121550029
299;0,1194653
300;0,119460483
301;0,112187619
302;0,111504055
303;0,111483187
304;0,113498999
305;0,11325252
306;0,112555822
307;0,113452332
308;0,113458437
309;0,112788831
310;0,113447731
311;0,110468892
312;0,109714982
313;0,110302569
314;0,11086355
315;0,112740755
316;0,110673632
317;0,111333268
318;0,112062531
319;0,114424096
320;0,11904096
321;0,119177803
322;0,119116596
323;0,119824815
324;0,1119363
325;0,107008956
326;0,10823956
327;0,107674787
328;0,10089592
329;0,099518061
330;0,09945877
331;0,099275063
332;0,099340513
333;0,099296217
334;0,099293244
335;0,099850825
336;0,100112721
337;0,100818511
338;0,101461513
339;0,101461741
340;0,101473774
341;0,101401343
342;0,101403188
343;0,102069164
344;0,097105753
345;0,096916105
346;0,09691245
347;0,096363415
348;0,09701657
349;0,097557156
350;0,098309419
351;0,10626489
352;0,105785619
353;0,104747705
354;0,114624326
355;0,114629818
356;0,109400341
357;0,108151287
358;0,107251885
359;0,107250406
360;0,114693881
361;0,11359316
362;0,121211408
363;0,121216281
364;0,12059819
365;0,121295934
366;0,122497872
367;0,122503164
368;0,122494947
369;0,116908398
370;0,123012343
371;0,116222111
372;0,116217278
373;0,116096329
374;0,116035851
375;0,11674857
376;0,115811471
377;0,115715379
378;0,121034714
379;0,121157816
380;0,11775259
381;0,117818474
382;0,117831201
383;0,119299055
384;0,120730558
385;0,120754893
386;0,121346021
387;0,120666384
388;0,120682151
389;0,120438103
390;0,120825667
391;0,120819365
392;0,119953057
393;0,119252111
394;0,113576247
395;0,113579028
396;0,112066667
397;0,111732402
398;0,112322286
399;0,112330333
400;0,112333813
401;0,112576726
402;0,112577562
403;0,112603383
404;0,111174933
405;0,11118982
406;0,111760242
407;0,110865492
408;0,111506295
409;0,11225066
410;0,111570704
411;0,111569132
412;0,111551911
413;0,110986709
414;0,110416315
415;0,109002553
416;0,109814128
417;0,109155262
418;0,111371029
419;0,109003664
420;0,102460146
421;0,101668459
422;0,101136037
423;0,100432635
424;0,099420413
425;0,099443876
426;0,097598253
427;0,097592415
428;0,097569351
429;0,097529112
430;0,097596208
431;0,097095675
432;0,096301324
433;0,096857817
434;0,096871927
435;0,097005757
436;0,096742085
437;0,096042334
438;0,095400706
439;0,095405499
440;0,095472923
441;0,094929394
442;0,095439206
