n;mae
101;0,566568816
102;0,571344572
103;0,569218983
104;0,632178091
105;0,5753322
106;0,567141929
107;0,567928271
108;0,567706958
109;0,567132908
110;0,566300796
111;0,573595915
112;0,56374794
113;0,557114307
114;0,559344506
115;0,571925669
116;0,570298319
117;0,56922004
118;0,570866116
119;0,56115636
120;0,561399786
121;0,570987045
122;0,575204504
123;0,575648143
124;0,576092564
125;0,573094757
126;0,573840242
127;0,569642577
128;0,605756041
129;0,57359792
130;0,574794656
131;0,576438979
132;0,573501135
133;0,567828997
134;0,565186377
135;0,569761726
136;0,569645649
137;0,56726825
138;0,568722212
139;0,567387238
140;0,568457315
141;0,567055038
142;0,570768961
143;0,574011832
144;0,570016622
145;0,570172144
146;0,574747462
147;0,569636107
148;0,565730579
149;0,567012269
150;0,567774819
151;0,564150152
152;0,566873824
153;0,569382038
154;0,567086272
155;0,567761984
156;0,56957414
157;0,570290542
158;0,568598497
159;0,563835696
160;0,568651203
161;0,570353075
162;0,572136247
163;0,567766391
164;0,589804967
165;0,579804685
166;0,573278583
167;0,574398867
168;0,582607441
169;0,584022011
170;0,596071438
171;0,599381994
172;0,599641646
173;0,604798943
174;0,608029508
175;0,612196102
176;0,617148965
177;0,616526635
178;0,618465411
179;0,619207899
180;0,617146984
181;0,616855634
182;0,617795623
183;0,621849442
184;0,6191963
185;0,622697902
186;0,62084725
187;0,624885763
188;0,626632824
189;0,626832965
190;0,628805968
191;0,626998818
192;0,627810002
193;0,632792647
194;0,625192985
195;0,628177499
196;0,626735803
197;0,625440512
198;0,626163357
199;0,630224095
200;0,62953722
201;0,65670097
202;0,650806785
203;0,650858042
204;0,588120868
205;0,593091648
206;0,595780349
207;0,59282573
208;0,589212647
209;0,588487472
210;0,588966534
211;0,578909079
212;0,577203313
213;0,57513339
214;0,566708933
215;0,562827216
216;0,565936352
217;0,568319503
218;0,567910799
219;0,567226045
220;0,569045093
221;0,558514387
222;0,557169381
223;0,552656671
224;0,552180539
225;0,557561201
226;0,559408296
227;0,5625859
228;0,526870788
229;0,524514517
230;0,52310848
231;0,522954137
232;0,522169857
233;0,52528896
234;0,523242831
235;0,517967753
236;0,512970542
237;0,515932308
238;0,51539949
239;0,517139384
240;0,517044425
241;0,517021584
242;0,517018951
243;0,517999506
244;0,517446287
245;0,535031246
246;0,529856244
247;0,532498212
248;0,532710797
249;0,533493181
250;0,53045223
251;0,530031179
252;0,53072904
253;0,527996606
254;0,531683361
255;0,531053252
256;0,530617054
257;0,528563125
258;0,526495706
259;0,527119623
260;0,523407287
261;0,522487278
262;0,522567437
263;0,937768936
264;0,996554014
265;0,996363433
266;1
267;0,998480399
268;0,991396033
269;0,984190472
270;0,974065567
271;0,971757618
272;0,9676405
273;0,962965134
274;0,961030416
275;0,957742163
276;0,9521425
277;0,953189721
278;0,952867197
279;0,953667301
280;0,952985356
281;0,958237487
282;0,959183068
283;0,958449687
284;0,959336981
285;0,958078817
286;0,960106558
287;0,967282106
288;0,974427817
289;0,974797583
290;0,97513882
291;0,97614168
292;0,972494195
293;0,964360717
294;0,974620664
295;0,971361067
296;0,969222152
297;0,973464142
298;0,977827207
299;0,975493994
300;0,977251788
301;0,952469368
302;0,951676838
303;0,951905667
304;0,953570242
305;0,949751086
306;0,949331739
307;0,94858125
308;0,947446734
309;0,950192536
310;0,948231607
311;0,95742436
312;0,956141919
313;0,956167972
314;0,958628743
315;0,962997532
316;0,959850176
317;0,959204407
318;0,957819691
319;0,958531131
320;0,955516915
321;0,957364009
322;0,954654569
323;0,95647851
324;0,95937594
325;0,95353009
326;0,952340637
327;0,948246847
328;0,976145725
329;0,975120458
330;0,976025127
331;0,97353632
332;0,984442917
333;0,983419421
334;0,980220316
335;0,990155013
336;0,991445826
337;0,98730087
338;0,98714262
339;0,985514597
340;0,985583543
341;0,985426571
342;0,982610268
343;0,983114915
344;0,985547942
345;0,967779197
346;0,968080157
347;0,969854083
348;0,96806733
349;0,965275143
350;0,968433248
351;0,966979567
352;0,979010899
353;0,977183863
354;0,981445208
355;0,982616524
356;0,980163686
357;0,992273832
358;0,991573221
359;0,994062714
360;0,993217723
361;0,993091602
362;0,992260656
363;0,581089294
364;0,502627974
365;0,503867304
366;0,500364844
367;0,501196062
368;0,50148421
369;0,50143997
370;0,498709504
371;0,499296016
372;0,498254473
373;0,497468629
374;0,498938592
375;0,500765963
376;0,500535394
377;0,501004618
378;0,504983684
379;0,501831713
380;0,501302172
381;0,499331217
382;0,500325466
383;0,496305092
384;0,496142863
385;0,493932548
386;0,488896307
387;0,483275081
388;0,474385256
389;0,474324551
390;0,473086771
391;0,473178277
392;0,47603505
393;0,475588826
394;0,466833565
395;0,465235442
396;0,467011644
397;0,467075885
398;0,46109879
399;0,462807065
400;0,460251332
401;0,459479002
402;0,458893235
403;0,457615898
404;0,457745003
405;0,460094194
406;0,460112315
407;0,465993039
408;0,468753703
409;0,467564437
410;0,470211659
411;0,467648783
412;0,467371201
413;0,473976307
414;0,47585728
415;0,467566147
416;0,470209481
417;0,470858886
418;0,47022032
419;0,470145349
420;0,476663985
421;0,478241571
422;0,482573133
423;0,481594599
424;0,483509812
425;0,488343694
426;0,49484344
427;0,496805457
428;0,470513456
429;0,468683073
430;0,46712908
431;0,47500666
432;0,466578946
433;0,496327243
434;0,498680618
435;0,492845612
436;0,492540245
437;0,509072883
438;0,510808053
439;0,516335222
440;0,513520221
441;0,515720541
442;0,518320406
443;0,521719608
444;0,520742182
445;0,534250222
446;0,542470334
447;0,539047802
448;0,544700567
449;0,546255323
450;0,543641008
451;0,540813737
452;0,528299193
453;0,527713639
454;0,521674181
455;0,519951332
456;0,519577056
457;0,508086962
458;0,509854975
459;0,50837896
460;0,532978055
461;0,536162626
462;0,533726231
463;0,541783996
464;0,540362511
465;0,536883883
466;0,53584413
467;0,532753851
468;0,534132616
469;0,537560826
470;0,537362364
471;0,541928969
472;0,541654195
473;0,545722339
474;0,545160575
475;0,548089996
476;0,548807851
477;0,549363146
478;0,55049542
479;0,55391027
480;0,554020643
481;0,554361769
482;0,553216461
483;0,552767476
484;0,552700062
485;0,55081333
486;0,548190771
487;0,546929373
488;0,550444664
489;0,552956509
490;0,552662636
491;0,549687278
492;0,544879587
493;0,547875024
494;0,550912947
495;0,551345261
496;0,554320632
497;0,552068907
498;0,551678831
499;0,551184454
500;0,550571464
501;0,545799815
502;0,546186794
503;0,549523249
504;0,549051767
505;0,552477993
506;0,552451849
507;0,544492695
508;0,539326128
509;0,540512409
510;0,538841408
511;0,533890757
512;0,536910048
513;0,529932483
514;0,528291607
515;0,527553603
516;0,530776626
517;0,532266986
518;0,53386646
519;0,531077028
520;0,532125348
521;0,53478359
522;0,533728246
523;0,537691286
524;0,532838269
525;0,532743231
526;0,531381208
527;0,533632018
528;0,529991671
529;0,532058949
530;0,533163446
531;0,527562013
532;0,523196465
533;0,492534384
534;0,491613659
535;0,491411921
536;0,493133857
537;0,48271439
538;0,482754676
539;0,4810173
540;0,485186465
541;0,49569075
542;0,494846225
543;0,487271624
544;0,490087006
545;0,473397961
546;0,464407726
547;0,47798109
548;0,482642865
549;0,480945411
550;0,480760299
551;0,483329931
552;0,480616219
553;0,486559884
554;0,48544139
555;0,486404811
556;0,488915973
557;0,487430826
558;0,488761206
559;0,491312497
560;0,46570375
561;0,461146036
562;0,458971884
563;0,454151665
564;0,451170064
565;0,454891378
566;0,455453339
567;0,45566684
568;0,456485047
569;0,456461082
570;0,46082783
571;0,456734359
572;0,481469833
573;0,477633398
574;0,47658969
575;0,47034614
576;0,469525715
577;0,474025059
578;0,46776816
579;0,464983107
580;0,468321394
581;0,466958839
