n;mae
101;0,440622682
102;0,443145375
103;0,444270478
104;0,524637765
105;0,457886567
106;0,457634505
107;0,461910507
108;0,461629606
109;0,460298184
110;0,457763386
111;0,468657687
112;0,455992199
113;0,444843231
114;0,445759579
115;0,460506875
116;0,46158458
117;0,460372525
118;0,459983837
119;0,449606123
120;0,446780513
121;0,449918548
122;0,449598423
123;0,44783105
124;0,44779478
125;0,44937277
126;0,450616316
127;0,450481833
128;0,488292955
129;0,455966052
130;0,453212793
131;0,455304183
132;0,454517986
133;0,448646522
134;0,444859351
135;0,44680732
136;0,45349265
137;0,454552438
138;0,451569043
139;0,453153912
140;0,454075991
141;0,455794688
142;0,455491791
143;0,457018283
144;0,457117238
145;0,458393532
146;0,458228705
147;0,456531003
148;0,454917114
149;0,455202764
150;0,456825367
151;0,448011252
152;0,447714807
153;0,455983895
154;0,452710107
155;0,453337561
156;0,457781255
157;0,459008358
158;0,454159762
159;0,455536084
160;0,468704259
161;0,473189049
162;0,473744012
163;0,472246663
164;0,501232999
165;0,485951674
166;0,486664828
167;0,483200952
168;0,485614345
169;0,496046342
170;0,498293609
171;0,505045857
172;0,507175065
173;0,514112824
174;0,51506502
175;0,514605589
176;0,514707137
177;0,512830494
178;0,51531809
179;0,511686373
180;0,510437204
181;0,506193563
182;0,504779383
183;0,505390814
184;0,50693908
185;0,507868819
186;0,510105705
187;0,515857302
188;0,516329346
189;0,51370209
190;0,512835502
191;0,517619511
192;0,51811183
193;0,518396662
194;0,51589593
195;0,514857902
196;0,518063648
197;0,518481142
198;0,522758261
199;0,531782806
200;0,532305198
201;0,571131514
202;0,568716686
203;0,568822786
204;0,489011694
205;0,491117529
206;0,490948249
207;0,480259169
208;0,478553613
209;0,480006221
210;0,478644886
211;0,463627084
212;0,462291881
213;0,460318665
214;0,458295019
215;0,451041719
216;0,454391581
217;0,457202755
218;0,456043375
219;0,448871687
220;0,449904878
221;0,445890502
222;0,446730377
223;0,44485343
224;0,44615054
225;0,447941616
226;0,447615273
227;0,446899302
228;0,40932035
229;0,409369726
230;0,406942416
231;0,412645087
232;0,412274769
233;0,409695347
234;0,403875929
235;0,401864657
236;0,394376445
237;0,395829204
238;0,397343094
239;0,406125773
240;0,405378301
241;0,404945168
242;0,405442376
243;0,406143796
244;0,406177517
245;0,427107966
246;0,429710831
247;0,430952987
248;0,431263402
249;0,436826004
250;0,434814067
251;0,436215824
252;0,434983722
253;0,425423939
254;0,425526856
255;0,428365359
256;0,426086372
257;0,424225669
258;0,424872276
259;0,421505113
260;0,410758702
261;0,40604877
262;0,40511313
263;0,849727156
264;0,905497555
265;0,909719386
266;0,911752865
267;0,913338309
268;0,912481264
269;0,900778349
270;0,909177554
271;0,907465566
272;0,907190553
273;0,899706624
274;0,89956093
275;0,903291314
276;0,902183746
277;0,901893058
278;0,90118115
279;0,908507084
280;0,908943655
281;0,912491175
282;0,914652185
283;0,916942658
284;0,914203203
285;0,921171508
286;0,929822645
287;0,926047518
288;0,927131876
289;0,92876872
290;0,934554854
291;0,93189165
292;0,928739767
293;0,927490847
294;0,941474985
295;0,935843477
296;0,931927938
297;0,932379752
298;0,929379061
299;0,920473175
300;0,926760533
301;0,891322687
302;0,890052884
303;0,889276926
304;0,893413025
305;0,891325305
306;0,893179223
307;0,892333629
308;0,892627031
309;0,895041102
310;0,896810854
311;0,90974444
312;0,909392089
313;0,909109164
314;0,911153359
315;0,920267726
316;0,917856296
317;0,918587886
318;0,919828371
319;0,926877455
320;0,924953912
321;0,926162402
322;0,926411165
323;0,927259977
324;0,928390332
325;0,925002656
326;0,924585805
327;0,925868616
328;0,951145125
329;0,949247873
330;0,94979292
331;0,942900462
332;0,9603802
333;0,961453404
334;0,961289623
335;0,974968631
336;0,974983951
337;0,974416002
338;0,974049106
339;0,96409734
340;0,963386745
341;0,964913453
342;0,967680241
343;0,972236223
344;0,973442592
345;0,951146497
346;0,947848499
347;0,948309014
348;0,948307778
349;0,942267507
350;0,942582244
351;0,945875606
352;0,969645269
353;0,9715059
354;0,982946338
355;0,980141044
356;0,978907905
357;0,996145905
358;0,993087274
359;0,99747576
360;0,996996575
361;0,997683755
362;1
363;0,555691071
364;0,473183039
365;0,469490147
366;0,464902121
367;0,465149712
368;0,464114649
369;0,463903513
370;0,457031353
371;0,452360803
372;0,450985788
373;0,450037924
374;0,454458333
375;0,451550915
376;0,45027544
377;0,450531875
378;0,452789983
379;0,445376206
380;0,446754611
381;0,44671258
382;0,444520977
383;0,44374039
384;0,444284124
385;0,437140747
386;0,428116763
387;0,426885295
388;0,423772784
389;0,422437446
390;0,418508727
391;0,422071324
392;0,42572048
393;0,425376801
394;0,412026995
395;0,41130134
396;0,414953239
397;0,424195221
398;0,421951382
399;0,429029083
400;0,423949878
401;0,421192124
402;0,42325264
403;0,422300883
404;0,417515107
405;0,423984898
406;0,422331307
407;0,426086821
408;0,430659343
409;0,426898333
410;0,426799704
411;0,414496718
412;0,414510457
413;0,42736085
414;0,42793275
415;0,4123683
416;0,411900122
417;0,410357343
418;0,407916584
419;0,402573449
420;0,404400312
421;0,411568995
422;0,411391056
423;0,420180265
424;0,419255531
425;0,421115265
426;0,42248135
427;0,42310791
428;0,395436418
429;0,396190747
430;0,394991449
431;0,397047979
432;0,379706604
433;0,415491003
434;0,419678722
435;0,409263944
436;0,40990783
437;0,43026629
438;0,430069639
439;0,441632373
440;0,443209337
441;0,442210347
442;0,440404396
443;0,437275725
444;0,435738011
445;0,456343135
446;0,469302018
447;0,468279475
448;0,473454366
449;0,478835895
450;0,479610178
451;0,471300195
452;0,448414618
453;0,448570542
454;0,439230328
455;0,438849153
456;0,437556549
457;0,420618933
458;0,421301511
459;0,417986445
460;0,452095251
461;0,45722187
462;0,454852501
463;0,46637847
464;0,466656974
465;0,469059447
466;0,468910206
467;0,470724977
468;0,471745606
469;0,474238664
470;0,470864875
471;0,469858034
472;0,468253808
473;0,469212443
474;0,465158923
475;0,464652844
476;0,465403837
477;0,465129895
478;0,463365012
479;0,463152002
480;0,463691814
481;0,459721296
482;0,460172699
483;0,459862967
484;0,46031228
485;0,464505055
486;0,462796612
487;0,462078249
488;0,469569282
489;0,474130217
490;0,472721997
491;0,467774722
492;0,464543702
493;0,464492296
494;0,467647803
495;0,468075527
496;0,466441559
497;0,456072601
498;0,456790252
499;0,449509675
500;0,447737641
501;0,450076049
502;0,453812472
503;0,455593073
504;0,457002513
505;0,456504614
506;0,458445275
507;0,455184716
508;0,450527086
509;0,453088257
510;0,452227427
511;0,453121403
512;0,458118295
513;0,445976643
514;0,445671287
515;0,443689351
516;0,446131726
517;0,446595075
518;0,44726188
519;0,445864804
520;0,447518851
521;0,44091377
522;0,444511287
523;0,445395565
524;0,44546158
525;0,443842873
526;0,451421873
527;0,450411723
528;0,448611104
529;0,448862686
530;0,45369771
531;0,451747405
532;0,451547165
533;0,414845753
534;0,410676849
535;0,408972959
536;0,409933126
537;0,399953757
538;0,403104669
539;0,393013461
540;0,400825168
541;0,415934827
542;0,420364431
543;0,419252962
544;0,420280159
545;0,398997623
546;0,385118153
547;0,406287918
548;0,401871709
549;0,400800933
550;0,400552496
551;0,400542122
552;0,400073093
553;0,410470108
554;0,408893496
555;0,408712648
556;0,415365243
557;0,416940945
558;0,418287465
559;0,42197224
560;0,385563327
561;0,382116551
562;0,38309256
563;0,380121656
564;0,377409773
565;0,378059323
566;0,3783487
567;0,376311219
568;0,381129671
569;0,380857217
570;0,382045772
571;0,383775908
572;0,414123405
573;0,413972256
574;0,413050443
575;0,412064858
576;0,410479152
577;0,412615229
578;0,411081447
579;0,412088302
580;0,409849632
581;0,409630377
582;0,435691989
583;0,435826153
584;0,436907258
585;0,432922981
586;0,444219207
587;0,442547255
588;0,436494039
589;0,43251954
590;0,43425747
591;0,435101625
592;0,434994893
593;0,433947729
594;0,431128405
595;0,432904723
596;0,442024416
597;0,444177888
598;0,445015783
599;0,445696388
600;0,444885442
601;0,443363332
602;0,438419237
603;0,436022144
604;0,435587985
605;0,430315771
606;0,431465033
607;0,430892035
608;0,432597567
609;0,437536684
610;0,437561528
611;0,439319961
612;0,438647864
613;0,437797959
614;0,435576481
615;0,437509099
616;0,434158145
617;0,450800383
618;0,45319319
619;0,453654466
620;0,45484971
621;0,455094358
622;0,464771033
623;0,454638249
624;0,453162749
625;0,450731601
626;0,445159941
627;0,446702485
628;0,455041822
629;0,453996658
630;0,467696471
631;0,469812041
632;0,471129388
633;0,468950087
634;0,471891371
635;0,470865359
636;0,486521814
637;0,474778031
638;0,470876348
639;0,469922776
640;0,462496413
641;0,44639957
642;0,441194746
643;0,438048878
644;0,438710251
645;0,438148388
646;0,439126495
647;0,422534676
648;0,422005432
649;0,418820612
650;0,42012173
651;0,420800405
652;0,4237725
653;0,418560802
654;0,422671538
655;0,424623012
656;0,417595056
657;0,436030056
658;0,435258476
659;0,431575307
660;0,434271153
661;0,433336109
662;0,433272203
663;0,427962944
664;0,427914648
665;0,431144271
666;0,43113001
667;0,429623064
668;0,426283055
669;0,426522625
670;0,438732228
671;0,436404145
672;0,406666098
673;0,405266184
674;0,409776811
675;0,410969323
676;0,411516718
677;0,40988342
678;0,409581856
679;0,4097324
680;0,421168734
681;0,425369154
682;0,399272468
683;0,395977431
684;0,393047664
685;0,415782525
686;0,407593106
687;0,407814463
688;0,40790134
689;0,407316523
690;0,412184671
691;0,411223411
692;0,411360312
693;0,421850362
694;0,425939309
695;0,42707652
696;0,415133796
697;0,420940388
698;0,419979352
699;0,427322123
700;0,429316298
701;0,428399106
702;0,429498398
703;0,432027107
704;0,430718467
705;0,432652039
706;0,429820821
707;0,83425185
708;0,83331208
709;0,825918929
710;0,823831188
711;0,823113448
712;0,819196051
713;0,82173998
714;0,822543435
715;0,820190137
716;0,829533819
717;0,811110313
718;0,809001079
719;0,807530817
720;0,803060041
721;0,803991466
722;0,789344659
723;0,790468051
724;0,8046222
725;0,804526301
726;0,799952892
727;0,80542679
728;0,800152242
729;0,80400781
730;0,785090858
731;0,782924058
732;0,78183132
733;0,786143474
734;0,784529786
735;0,791404294
736;0,774312577
737;0,775838284
738;0,776259436
739;0,776577756
740;0,774888422
741;0,776245421
742;0,775711385
743;0,782099803
744;0,781142465
745;0,783756655
746;0,784415348
747;0,781197518
748;0,781700959
749;0,779902556
750;0,779219886
751;0,780265213
752;0,779415682
753;0,772778773
754;0,769760042
755;0,769184233
756;0,769143662
757;0,748520141
758;0,767782315
759;0,778393655
760;0,782346737
761;0,78215788
762;0,783479692
763;0,78084463
764;0,785739508
765;0,78053812
766;0,781261661
767;0,781829839
768;0,780720401
769;0,779861235
770;0,767016595
771;0,76729299
772;0,768291826
773;0,7788571
774;0,779697411
775;0,778539283
776;0,784215068
777;0,784718453
778;0,784661103
779;0,79384327
780;0,78714722
781;0,784941549
782;0,795539165
783;0,795721747
784;0,796783991
785;0,778398618
786;0,777309479
787;0,777684281
788;0,776527594
789;0,778400737
790;0,772724209
791;0,775072342
792;0,784843786
793;0,776099273
794;0,773275236
795;0,770430877
796;0,776607805
797;0,769577524
798;0,770672961
799;0,762863033
800;0,761439232
801;0,761657841
802;0,762912445
803;0,760860415
