n;mae
101;0,204857874
102;0,2049315
103;0,204988674
104;0,205375001
105;0,206849076
106;0,202080431
107;0,202081287
108;0,205084668
109;0,207801609
110;0,205524214
111;0,206447029
112;0,20980193
113;0,211117498
114;0,213133597
115;0,210156353
116;0,20766361
117;0,21129705
118;0,211405857
119;0,211044568
120;0,211031198
121;0,214978196
122;0,212604843
123;0,215634012
124;0,213974353
125;0,216943728
126;0,216909837
127;0,219753425
128;0,219659038
129;0,219729349
130;0,219314629
131;0,219401832
132;0,220420049
133;0,215865837
134;0,215225394
135;0,214729045
136;0,217214436
137;0,216298693
138;0,213336025
139;0,213627046
140;0,211168054
141;0,21229795
142;0,211075841
143;0,214808911
144;0,216460028
145;0,216003096
146;0,218741199
147;0,21857565
148;0,219430996
149;0,223936771
150;0,223935569
151;0,228498585
152;0,232941838
153;0,236764762
154;0,238973142
155;0,237591016
156;0,236884724
157;0,233017437
158;0,236721727
159;0,238184048
160;0,238845926
161;0,236959856
162;0,232317345
163;0,231313461
164;0,23166582
165;0,235273149
166;0,2381103
167;0,237787388
168;0,239842646
169;0,23767413
170;0,239656718
171;0,243104541
172;0,243620002
173;0,24091394
174;0,240925552
175;0,241125446
176;0,24106963
177;0,240582922
178;0,24059328
179;0,243319561
180;0,243300993
181;0,243597589
182;0,243597345
183;0,245064968
184;0,247996191
185;0,245646791
186;0,242130502
187;0,241331552
188;0,241198445
189;0,238168442
190;0,237969171
191;0,237975597
192;0,241192522
193;0,241571962
194;0,241584372
195;0,244966245
196;0,242056932
197;0,237462038
198;0,232957422
199;0,229333934
200;0,228248247
201;0,228107932
202;0,2310986
203;0,233158187
204;0,232889985
205;0,234770846
206;0,238184449
207;0,239442622
208;0,236434612
209;0,232334051
210;0,23587296
211;0,231478225
212;0,22951218
213;0,228198094
214;0,227157282
215;0,230851059
216;0,232187367
217;0,230108828
218;0,231331977
219;0,231343713
220;0,232642264
221;0,230335358
222;0,228167607
223;0,227227163
224;0,225046529
225;0,22596661
226;0,229105284
227;0,228880177
228;0,225250987
229;0,221904146
230;0,221800002
231;0,221198563
232;0,222180201
233;0,224959401
234;0,226830126
235;0,226812299
236;0,224655405
237;0,224941576
238;0,225487025
239;0,224450532
240;0,223046186
241;0,2184737
242;0,219749129
243;0,216674368
244;0,216209711
245;0,216389033
246;0,213138045
247;0,209513064
248;0,206564659
249;0,206631712
250;0,206631565
251;0,20438676
252;0,199925392
253;0,197535869
254;0,195469869
255;0,192192267
256;0,190578667
257;0,193797291
258;0,189956105
259;0,186934714
260;0,183805899
261;0,187559465
262;0,190761309
263;0,190684587
264;0,187333958
265;0,183929784
266;0,180553779
267;0,178266525
268;0,174074533
269;0,17576342
270;0,172322801
271;0,171741274
272;0,174626562
273;0,172711315
274;0,177330196
275;0,176845618
276;0,176632989
277;0,175375405
278;0,176591422
279;0,173205591
280;0,176223006
281;0,176549121
282;0,176550832
283;0,177823568
284;0,176640562
285;0,176879098
286;0,180728645
287;0,17754398
288;0,173904447
289;0,175805401
290;0,176335097
291;0,17543467
292;0,176098889
293;0,175071123
294;0,175061687
295;0,171680664
296;0,171682831
297;0,175403876
298;0,175401083
299;0,177418948
300;0,177572252
301;0,173697994
302;0,170621213
303;0,170517565
304;0,169830206
305;0,170201323
306;0,169486204
307;0,170882601
308;0,170882515
309;0,173856372
310;0,173093396
311;0,173084023
312;0,171696518
313;0,17183782
314;0,169435083
315;0,169394603
316;0,172242631
317;0,173343715
318;0,172011299
319;0,171520788
