n;mae;;;;
101;0,493017405;;;;
102;0,491985262;;;;
103;0,491599936;;;;
104;0,491755524;;;;
105;0,491971669;;;;
106;0,483062822;;;;
107;0,482148354;;;;
108;0,4826832;;;;
109;0,474557226;;;;
110;0,477756705;;;;
111;0,486561196;;;;
112;0,495819958;;;;
113;0,488293606;;;;
114;0,48040407;;;;
115;0,480472119;;;;
116;0,489253643;;;;
117;0,497914187;;;;
118;0,49247318;;;;
119;0,485588014;;;;
120;0,475848265;;;;
121;0,468852876;;;;
122;0,466751363;;;;
123;0,457807718;;;;
124;0,456423838;;;;
125;0,457252201;;;;
126;0,451035563;;;;
127;0,444150398;;;;
128;0,443976623;;;;
129;0,450861789;;;;
130;0,452992702;;;;
131;0,445537974;;;;
132;0,43856887;;;;
133;0,444192757;;;;
134;0,449255399;;;;
135;0,447282336;;;;
136;0,445309273;;;;
137;0,437289496;;;;
138;0,439098876;;;;
139;0,431274096;;;;
140;0,430798309;;;;
141;0,423356003;;;;
142;0,422043052;;;;
143;0,423951178;;;;
144;0,420110464;;;;
145;0,411205023;;;;
146;0,40207372;;;;
147;0,39447282;;;;
148;0,392980123;;;;
149;0,392971884;;;;
150;0,384445112;;;;
151;0,381647192;;;;
152;0,374001438;;;;
153;0,365935909;;;;
154;0,362665276;;;;
155;0,370832347;;;;
156;0,370999455;;;;
157;0,372248328;;;;
158;0,376089041;;;;
159;0,372157212;;;;
160;0,375020816;;;;
161;0,384828978;;;;
162;0,391575218;;;;
163;0,400901689;;;;
164;0,39623436;;;;
165;0,397235818;;;;
166;0,389255185;;;;
167;0,379907751;;;;
168;0,381169508;;;;
169;0,38140555;;;;
170;0,386357731;;;;
171;0,396044109;;;;
172;0,39615608;;;;
173;0,396413489;;;;
174;0,395793928;;;;
175;0,395873975;;;;
176;0,3961026;;;;
177;0,388161145;;;;
178;0,387769942;;;;
179;0,387691688;;;;
180;0,397570496;;;;
181;0,397257754;;;;
182;0,397237893;;;;
183;0,397496073;;;;
184;0,388263107;;;;
185;0,388607021;;;;
186;0,397965482;;;;
187;0,406887291;;;;
188;0,398370665;;;;
189;0,398714683;;;;
190;0,407861107;;;;
191;0,407692615;;;;
192;0,40802105;;;;
193;0,40881321;;;;
194;0,418588455;;;;
195;0,41952082;;;;
196;0,410660662;;;;
197;0,419832737;;;;
198;0,419504014;;;;
199;0,428210133;;;;
200;0,437686284;;;;
201;0,43789189;;;;
202;0,429625841;;;;
203;0,420646796;;;;
204;0,411754983;;;;
205;0,412154708;;;;
206;0,421928945;;;;
207;0,422775542;;;;
208;0,413798927;;;;
209;0,422278817;;;;
210;0,427702299;;;;
211;0,419235773;;;;
212;0,409551822;;;;
213;0,408798874;;;;
214;0,417042326;;;;
215;0,417119714;;;;
216;0,409239447;;;;
217;0,400330268;;;;
218;0,397376327;;;;
219;0,395982193;;;;
220;0,403286056;;;;
221;0,40093008;;;;
222;0,394338569;;;;
223;0,402358024;;;;
224;0,394245563;;;;
225;0,402078413;;;;
226;0,399962819;;;;
227;0,398711023;;;;
228;0,390556184;;;;
229;0,390921406;;;;
230;0,397137172;;;;
231;0,404902982;;;;
232;0,412183167;;;;
233;0,414070956;;;;
234;0,407952386;;;;
235;0,400997792;;;;
236;0,403350684;;;;
237;0,412081192;;;;
238;0,409215959;;;;
239;0,417165771;;;;
240;0,417068455;;;;
241;0,424727548;;;;
242;0,425878091;;;;
243;0,423787163;;;;
244;0,428338608;;;;
245;0,428386225;;;;
246;0,431215188;;;;
247;0,439179134;;;;
248;0,448416783;;;;
249;0,457487962;;;;
250;0,467051903;;;;
251;0,471506121;;;;
252;0,47110928;;;;
253;0,480271619;;;;
254;0,475416843;;;;
255;0,466971851;;;;
256;0,474935775;;;;
257;0,474057919;;;;
258;0,469673694;;;;
259;0,474041137;;;;
260;0,480452976;;;;
261;0,479951159;;;;
262;0,474705345;;;;
263;0,470974053;;;;
264;0,473175972;;;;
265;0,474647332;;;;
266;0,476118945;;;;
267;0,478790141;;;;
268;0,480222826;;;;
269;0,482784278;;;;
270;0,480212993;;;;
271;0,473324702;;;;
272;0,466376045;;;;
273;0,456936722;;;;
274;0,45973859;;;;
275;0,456760884;;;;
276;0,458824987;;;;
277;0,462967512;;;;
278;0,465708241;;;;
279;0,468153066;;;;
280;0,46106888;;;;
281;0,452491103;;;;
282;0,453484268;;;;
283;0,449572456;;;;
284;0,453801293;;;;
285;0,458111246;;;;
286;0,453801293;;;;
287;0,449557453;;;;
288;0,458999483;;;;
289;0,466856646;;;;
290;0,458999483;;;;
291;0,468502252;;;;
292;0,469462943;;;;
293;0,459733761;;;;
294;0,449989511;;;;
295;0,448693156;;;;
296;0,457063277;;;;
297;0,456102586;;;;
298;0,448245423;;;;
299;0,447083243;;;;
300;0,437914729;;;;
301;0,43786495;;;;
302;0,44570143;;;;
303;0,454033008;;;;
304;0,45416921;;;;
305;0,453408301;;;;
306;0,453251815;;;;
307;0,443965937;;;;
308;0,444169933;;;;
309;0,44427739;;;;
310;0,435771987;;;;
311;0,435433622;;;;
312;0,444396911;;;;
313;0,452676211;;;;
314;0,452484763;;;;
315;0,462052351;;;;
316;0,461373474;;;;
317;0,461370258;;;;
318;0,461469784;;;;
319;0,470781876;;;;
320;0,463448993;;;;
321;0,463795895;;;;
322;0,463623837;;;;
323;0,464668974;;;;
324;0,464497222;;;;
325;0,456214042;;;;
326;0,456250737;;;;
327;0,456092198;;;;
328;0,465657368;;;;
329;0,457374189;;;;
330;0,448111866;;;;
331;0,438872404;;;;
332;0,429693438;;;;
333;0,429563439;;;;
334;0,43622984;;;;
335;0,445675824;;;;
336;0,444933507;;;;
337;0,435510108;;;;
338;0,445077208;;;;
339;0,445045354;;;;
340;0,454295687;;;;
341;0,453638418;;;;
342;0,448766249;;;;
343;0,449703472;;;;
344;0,446033765;;;;
345;0,451285041;;;;
346;0,448066268;;;;
347;0,439816748;;;;
348;0,431015429;;;;
349;0,422748984;;;;
350;0,414101609;;;;
351;0,413271837;;;;
352;0,418925537;;;;
353;0,415439833;;;;
354;0,423875914;;;;
355;0,432494598;;;;
356;0,424244505;;;;
357;0,428398101;;;;
358;0,42882256;;;;
359;0,427380343;;;;
360;0,4273399;;;;
361;0,4187058;;;;
362;0,421738077;;;;
363;0,424834354;;;;
364;0,423030285;;;;
365;0,421272437;;;;
366;0,424278969;;;;
367;0,425599149;;;;
368;0,430477931;;;;
369;0,428246801;;;;
370;0,433494949;;;;
371;0,431051945;;;;
372;0,436275176;;;;
373;0,438412785;;;;
374;0,443291566;;;;
375;0,446258073;;;;
376;0,444382595;;;;
377;0,440607424;;;;
378;0,43880468;;;;
379;0,444912081;;;;
380;0,45066052;;;;
381;0,458415217;;;;
382;0,464156783;;;;
383;0,461577041;;;;
384;0,459028285;;;;
385;0,456042434;;;;
386;0,456323187;;;;
387;0,452934196;;;;
388;0,445189832;;;;
389;0,439837101;;;;
390;0,43838224;;;;
391;0,437689806;;;;
392;0,437915197;;;;
393;0,444678598;;;;
394;0,447633109;;;;
395;0,439790137;;;;
396;0,434437406;;;;
397;0,431508045;;;;
398;0,438845722;;;;
399;0,438749702;;;;
400;0,446898333;;;;
401;0,447914078;;;;
402;0,44715542;;;;
403;0,441017211;;;;
404;0,441535724;;;;
405;0,442198955;;;;
406;0,433408886;;;;
407;0,433972256;;;;
408;0,435032919;;;;
409;0,427556905;;;;
410;0,428693751;;;;
411;0,42985412;;;;
412;0,422269916;;;;
413;0,415202998;;;;
414;0,411307806;;;;
415;0,406131101;;;;
416;0,407920485;;;;
417;0,409684638;;;;
418;0,411462069;;;;
419;0,411043965;;;;
420;0,412387434;;;;
421;0,420438001;;;;
422;0,421718879;;;;
423;0,413803406;;;;
424;0,416085413;;;;
425;0,417498256;;;;
426;0,422384119;;;;
427;0,427269946;;;;
428;0,422461247;;;;
429;0,422108688;;;;
430;0,430434648;;;;
431;0,431749257;;;;
432;0,439992132;;;;
433;0,438479892;;;;
434;0,439858308;;;;
435;0,435412708;;;;
436;0,435444133;;;;
437;0,436758928;;;;
438;0,430613405;;;;
439;0,43054606;;;;
440;0,430671306;;;;
441;0,430850269;;;;
442;0,436050408;;;;
443;0,444384884;;;;
444;0,438707873;;;;
445;0,438473924;;;;
446;0,439636507;;;;
447;0,43872331;;;;
448;0,439416026;;;;
449;0,443211469;;;;
450;0,445165274;;;;
451;0,445261655;;;;
452;0,448053038;;;;
453;0,447248425;;;;
454;0,443667119;;;;
455;0,439820157;;;;
456;0,441461462;;;;
457;0,436932734;;;;
458;0,436526811;;;;
459;0,429313021;;;;
460;0,420212694;;;;
461;0,4196985;;;;
462;0,421721432;;;;
463;0,421004668;;;;
464;0,42494287;;;;
465;0,433161562;;;;
466;0,436615875;;;;
467;0,441756539;;;;
468;0,443338602;;;;
469;0,452060214;;;;
470;0,453671916;;;;
471;0,462605403;;;;
472;0,464217104;;;;
473;0,462120122;;;;
474;0,463731824;;;;
475;0,454445781;;;;
476;0,454040684;;;;
477;0,461083235;;;;
478;0,469346824;;;;
479;0,461463451;;;;
480;0,452989945;;;;
481;0,454292423;;;;
482;0,447575745;;;;
483;0,444668195;;;;
484;0,443594711;;;;
485;0,442016084;;;;
486;0,436694512;;;;
487;0,435119679;;;;
488;0,433544997;;;;
489;0,439761362;;;;
490;0,44122033;;;;
491;0,433723097;;;;
492;0,440361527;;;;
493;0,435041452;;;;
494;0,433530418;;;;
495;0,434001453;;;;
496;0,431982074;;;;
497;0,428045742;;;;
498;0,424494392;;;;
499;0,41769822;;;;
500;0,415131602;;;;
501;0,414316902;;;;
502;0,41209953;;;;
503;0,418232822;;;;
504;0,421296745;;;;
505;0,421916767;;;;
506;0,424980347;;;;
507;0,431246195;;;;
508;0,43395468;;;;
509;0,433138039;;;;
510;0,432321398;;;;
511;0,432288403;;;;
512;0,43466432;;;;
513;0,437092514;;;;
514;0,438567491;;;;
515;0,437852191;;;;
516;0,441543623;;;;
517;0,44117033;;;;
518;0,447683451;;;;
519;0,442620739;;;;
520;0,447186932;;;;
521;0,443282435;;;;
522;0,446974179;;;;
523;0,449917026;;;;
524;0,452443741;;;;
525;0,450678084;;;;
526;0,446225839;;;;
527;0,442533866;;;;
528;0,446908987;;;;
529;0,451867913;;;;
530;0,444879979;;;;
531;0,444880519;;;;
532;0,441526291;;;;
533;0,438367999;;;;
534;0,435219825;;;;
535;0,435219825;;;;
536;0,427950608;;;;
537;0,431671668;;;;
538;0,428382826;;;;
539;0,420334754;;;;
540;0,411086969;;;;
541;0,410663005;;;;
542;0,401832433;;;;
543;0,392693495;;;;
544;0,393113647;;;;
545;0,397401993;;;;
546;0,401168242;;;;
547;0,405876739;;;;
548;0,409347122;;;;
549;0,404638244;;;;
550;0,402897466;;;;
551;0,395706793;;;;
552;0,396061954;;;;
553;0,391299553;;;;
554;0,386393708;;;;
555;0,38170695;;;;
556;0,388463843;;;;
557;0,388501557;;;;
558;0,39730567;;;;
559;0,396929137;;;;
560;0,39685912;;;;
561;0,406323959;;;;
562;0,409535432;;;;
563;0,401564752;;;;
564;0,392352732;;;;
565;0,383335381;;;;
566;0,383935524;;;;
567;0,384300243;;;;
568;0,384900468;;;;
569;0,385447192;;;;
570;0,376205558;;;;
571;0,36696948;;;;
572;0,357747288;;;;
573;0,357897488;;;;
574;0,358468102;;;;
575;0,358504569;;;;
576;0,368222499;;;;
577;0,359418387;;;;
578;0,350643913;;;;
579;0,350026789;;;;
580;0,359617257;;;;
581;0,350009068;;;;
582;0,350191116;;;;
583;0,359705205;;;;
584;0,359093642;;;;
585;0,368373228;;;;
586;0,368325411;;;;
587;0,377601134;;;;
588;0,386761202;;;;
589;0,387301173;;;;
590;0,388581946;;;;
591;0,390026381;;;;
592;0,384447439;;;;
593;0,390360158;;;;
594;0,39161233;;;;
595;0,392161855;;;;
596;0,393922373;;;;
597;0,395176474;;;;
598;0,391000484;;;;
599;0,39249669;;;;
600;0,393444652;;;;
601;0,395339213;;;;
602;0,392380842;;;;
603;0,385098692;;;;
604;0,381929452;;;;
605;0,385134821;;;;
606;0,386372731;;;;
607;0,382007211;;;;
608;0,385028487;;;;
609;0,387248178;;;;
610;0,393794581;;;;
611;0,394164123;;;;
612;0,400252367;;;;
613;0,406040806;;;;
614;0,409448268;;;;
615;0,415110263;;;;
616;0,409448268;;;;
617;0,408282228;;;;
618;0,409558725;;;;
619;0,41522072;;;;
620;0,409323149;;;;
621;0,414323448;;;;
622;0,41879606;;;;
