prefLen;nbrCases;relNr;accLSTM;accRF
1;8726;1;0;0
2;8726;1;0;0
3;6442;0,738253495;0;0,038439809
4;6442;0,738253495;0;0,08129678
5;5131;0,588012835;0;0,162836056
6;4728;0,541829017;0,059214798;0,16390938
7;4550;0,521430209;0,068065861;0,16234782
8;4270;0,489342196;0,084392684;0,172225641
9;4086;0,468255787;0,081700059;0,181618273
10;3950;0,452670181;0,072558412;0,111089529
11;3844;0,440522576;0,067594642;0,1297759
12;3766;0,431583773;0,081118795;0,141202973
13;3695;0,423447169;0,14602748;0,150772866
14;3620;0,414852166;0,182734702;0,219017591
15;3505;0,401673161;0,225709225;0,201466589
16;3374;0,386660555;0,256582571;0,261371127
17;3236;0,370845748;0,278465913;0,286171661
18;3097;0,354916342;0,291476495;0,239604857
19;2909;0,333371533;0,275802427;0,228453859
20;2700;0,309420124;0,314874671;0,250587803
21;2462;0,282145313;0,338399938;0,291786174
22;2275;0,260715104;0,359790574;0,311679429
23;2091;0,239628696;0,385255744;0,290309385
24;1936;0,221865689;0,385888302;0,260111217
25;1777;0,203644281;0,387135793;0,23444071
26;1614;0,184964474;0,381133869;0,183238794
27;1485;0,170181068;0,403599547;0,258188897
28;1345;0,154137062;0,352877659;0,325974188
29;1220;0,139812056;0,379748491;0,204849138
30;1101;0,12617465;0,303188055;0,286966923
31;1023;0,117235847;0,366969066;0,268840188
32;938;0,107494843;0,314570588;0,277684876
33;851;0,097524639;0,289040425;0,267485582
34;775;0,088815036;0,309061731;0,187856902
35;702;0,080449232;0,232881932;0,104441179
36;632;0,072427229;0,117037718;0,101324295
37;577;0,066124226;0,266043772;0,200518703
38;540;0,061884025;0,31760729;0,131217956
39;483;0,055351822;0,268991106;0,203128813
40;446;0,05111162;0,11183619;0,11183619
41;407;0,046642219;0,025623598;-0,099172425
42;368;0,042172817;0,135930715;-0,085714286
43;333;0,038161815;0,147846923;0,205141424
44;297;0,034036214;0,288125971;0,02744768
45;269;0,030827412;0,222154543;0,10485516
46;253;0,028993812;0,271867807;-0,050664814
47;227;0,02601421;0,098473868;-0,083807547
48;204;0,023378409;0,221206188;-0,088081035
