prefLen;nbrCases;relNr;accLSTM;accRF
1;1314;1;0,124351624;0,102290803
2;1314;1;0,150420336;0,116894796
3;1314;1;0,130275676;0,133459252
4;1314;1;0,212661814;0,162434996
5;1314;1;0,230181165;0,158953528
6;1314;1;0,310127234;0,207551819
7;1314;1;0,331090908;0,262288862
8;1171;0,891171994;0,350126975;0,235084673
9;1171;0,891171994;0,375263689;0,308238186
10;976;0,742770167;0,397968313;0,251480769
11;976;0,742770167;0,436055303;0,359710964
12;754;0,573820396;0,46854801;0,292777614
13;754;0,573820396;0,503196723;0,471461146
14;595;0,45281583;0,536194472;0,449543242
15;595;0,45281583;0,522909256;0,554501719
16;392;0,298325723;0,500923879;0,42815287
17;392;0,298325723;0,545539973;0,605072273
18;207;0,157534247;0,687885335;0,436595737
19;207;0,157534247;0,628052516;0,603178015
20;104;0,079147641;0,622859822;0,375568956
21;104;0,079147641;0,646199861;0,481686708
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
