case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability
101;0,768003835;0,306930693;0,303921569;1;1;0;0;-3,268003835;-3,357142857;False;1;7;0,384428531;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
102;0,773404375;0,297029703;0,300970874;1;1;0;0;-3,273404375;-3,409090909;False;1;11;0,387757331;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
103;0,772924327;0,306930693;0,307692308;1;1;0;0;-3,272924327;-3,318181818;True;2;11;0,369517982;0,371169388;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
104;0,773490098;0,316831683;0,314285714;1;1;0;0;-3,273490098;-3,357142857;True;1;7;0,375089943;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
105;0,773730122;0,316831683;0,311320755;1;1;0;0;-3,273730122;-3,433333333;False;1;15;0,363117307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
106;0,772850034;0,306930693;0,308411215;1;1;0;0;-3,272850034;-3,3;False;3;15;0,354039997;0,355315447;0,361395866;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
107;0,772378558;0,316831683;0,314814815;1;1;0;0;-3,272378558;-3,214285714;True;2;7;0,367354482;0,373605877;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
108;0,770980772;0,306930693;0,311926606;1;1;0;0;-3,270980772;-3,3;False;3;15;0,396001697;0,415684074;0,412324518;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
109;0,766571087;0,306930693;0,309090909;1;1;0;0;-3,266571087;-2,911764706;False;10;17;0,363881558;0,361423373;0,365689158;0,367530882;0,366775304;0,368504733;0,367755175;0,368601054;0,369542032;0,37147367;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
110;0,763150745;0,306930693;0,306306306;1;1;0;0;-3,263150745;-2,954545455;False;6;11;0,371826887;0,376526535;0,378786415;0,378796726;0,383587569;0,380011171;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
111;0,760964812;0,306930693;0,3125;1;1;0;0;-3,260964812;-3,136363636;True;4;11;0,375026077;0,382683069;0,405109763;0,403272778;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
112;0,760101649;0,306930693;0,309734513;1;1;0;0;-3,260101649;-3,346153846;False;2;13;0,370341808;0,398999065;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
113;0,757792722;0,297029703;0,307017544;1;1;0;0;-3,257792722;-3,136363636;False;4;11;0,39325431;0,396713048;0,409023523;0,408217132;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
114;0,758912744;0,287128713;0,304347826;1;1;0;0;-3,258912744;-3,382352941;False;2;17;0,348873109;0,352925837;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
115;0,755015069;0,297029703;0,310344828;1;1;0;0;-3,255015069;-3,029411765;True;8;17;0,347907901;0,345432132;0,349642158;0,349816203;0,356396973;0,360369831;0,362136632;0,365383983;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
116;0,755109364;0,287128713;0,307692308;1;1;0;0;-3,255109364;-3,366666667;False;2;15;0,348813146;0,352815717;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
117;0,754409294;0,287128713;0,305084746;1;1;0;0;-3,254409294;-3,318181818;False;2;11;0,371888161;0,362484843;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
118;0,753466343;0,287128713;0,302521008;1;1;0;0;-3,253466343;-3,357142857;False;1;7;0,362821341;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
119;0,753026299;0,297029703;0,308333333;1;1;0;0;-3,253026299;-3,388888889;True;1;9;0,369526118;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
120;0,754912202;0,287128713;0,305785124;1;1;0;0;-3,254912202;-3,357142857;False;3;21;0,351855785;0,353327602;0,354157954;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
121;0,754496775;0,287128713;0,303278689;1;1;0;0;-3,254496775;-3,227272727;False;3;11;0,409406722;0,417160392;0,425529748;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
