case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability
100;0,836885492;0,31;0,31;1;1;0;0;-3,836885492;-3,923076923;False;1;13;0,405810952;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
101;0,83708606;0,306930693;0,306930693;1;1;0;0;-3,83708606;-3,857142857;False;1;7;0,439696342;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
102;0,83708606;0,297029703;0,303921569;1;1;0;0;-3,83708606;-3,909090909;False;1;11;0,45709458;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
103;0,836846036;0,306930693;0,310679612;1;1;0;0;-3,836846036;-3,909090909;True;1;11;0,490448892;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
104;0,831094032;0,316831683;0,317307692;1;1;0;0;-3,831094032;-3,285714286;True;5;7;0,507653952;0,570831656;0,649510264;0,551915169;0,5373528;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
105;0,83157408;0,316831683;0,314285714;1;1;0;0;-3,83157408;-3,866666667;False;2;15;0,396080196;0,397647291;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
106;0,830033926;0,306930693;0,311320755;1;1;0;0;-3,830033926;-3,733333333;False;4;15;0,383263558;0,400776267;0,403217226;0,39985165;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
107;0,828148023;0,316831683;0,317757009;1;1;0;0;-3,828148023;-3,714285714;True;2;7;0,44723627;0,421567887;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
108;0,828070368;0,306930693;0,314814815;1;1;0;0;-3,828070368;-3,933333333;False;1;15;0,404290229;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
109;0,828902384;0,306930693;0,311926606;1;1;0;0;-3,828902384;-3,941176471;False;1;17;0,390560359;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
