caseID;earliness;avg_alarms;avg_true_alarms
538;0,88267;0,24000;0,88000
539;0,88410;0,23000;0,88000
540;0,88410;0,23000;0,88000
541;0,87410;0,24000;0,88000
542;0,86410;0,25000;0,88000
543;0,85839;0,25000;0,89000
544;0,85839;0,25000;0,88000
545;0,85839;0,25000;0,88000
546;0,86839;0,24000;0,88000
547;0,86696;0,25000;0,88000
548;0,85802;0,25000;0,89000
549;0,86508;0,24000;0,89000
550;0,85970;0,25000;0,89000
551;0,85879;0,26000;0,89000
552;0,86606;0,25000;0,89000
553;0,86606;0,25000;0,89000
554;0,85606;0,26000;0,89000
555;0,85606;0,26000;0,89000
556;0,85606;0,26000;0,89000
557;0,85539;0,27000;0,89000
558;0,85539;0,27000;0,89000
559;0,85254;0,28000;0,88000
560;0,85254;0,28000;0,87000
561;0,86254;0,27000;0,87000
562;0,86254;0,27000;0,87000
563;0,85609;0,27000;0,87000
564;0,84609;0,28000;0,87000
565;0,84609;0,28000;0,87000
566;0,84256;0,29000;0,87000
567;0,84256;0,29000;0,87000
568;0,84256;0,29000;0,87000
569;0,83256;0,30000;0,87000
570;0,83333;0,29000;0,88000
571;0,83190;0,30000;0,87000
572;0,83924;0,29000;0,87000
573;0,83082;0,30000;0,87000
574;0,83082;0,30000;0,87000
575;0,83082;0,30000;0,87000
576;0,83199;0,29000;0,87000
577;0,83108;0,30000;0,86000
578;0,83017;0,31000;0,85000
579;0,83017;0,31000;0,85000
580;0,83160;0,30000;0,85000
581;0,84083;0,29000;0,85000
582;0,84083;0,29000;0,85000
583;0,83083;0,30000;0,85000
584;0,83083;0,30000;0,86000
585;0,83017;0,31000;0,86000
586;0,83017;0,31000;0,87000
587;0,82478;0,32000;0,87000
588;0,82478;0,32000;0,87000
589;0,81478;0,33000;0,87000
590;0,81478;0,33000;0,87000
591;0,81478;0,33000;0,87000
592;0,80478;0,34000;0,87000
593;0,80478;0,34000;0,87000
594;0,81050;0,33000;0,88000
595;0,81050;0,33000;0,88000
596;0,81050;0,33000;0,88000
597;0,80467;0,33000;0,89000
598;0,80578;0,32000;0,90000
599;0,80578;0,32000;0,90000
600;0,81467;0,31000;0,91000
601;0,80911;0,32000;0,90000
602;0,80845;0,33000;0,90000
603;0,81845;0,32000;0,90000
604;0,81845;0,32000;0,90000
605;0,81845;0,32000;0,89000
606;0,81754;0,33000;0,89000
607;0,81754;0,33000;0,89000
608;0,81754;0,33000;0,89000
609;0,81611;0,34000;0,89000
610;0,81677;0,33000;0,89000
611;0,81586;0,34000;0,89000
612;0,81586;0,34000;0,89000
613;0,82586;0,33000;0,89000
614;0,82586;0,33000;0,89000
615;0,82386;0,34000;0,89000
616;0,82386;0,34000;0,89000
617;0,82386;0,34000;0,89000
618;0,81386;0,35000;0,89000
619;0,81498;0,34000;0,89000
620;0,81445;0,35000;0,88000
621;0,81445;0,35000;0,87000
622;0,81445;0,35000;0,87000
623;0,81445;0,35000;0,87000
624;0,81445;0,35000;0,87000
625;0,81445;0,35000;0,87000
626;0,81445;0,35000;0,87000
627;0,82445;0,34000;0,86000
628;0,82016;0,35000;0,85000
629;0,81925;0,36000;0,85000
630;0,81925;0,36000;0,85000
631;0,81925;0,36000;0,84000
632;0,81859;0,37000;0,83000
633;0,82404;0,36000;0,82000
634;0,82404;0,36000;0,82000
635;0,82132;0,37000;0,81000
636;0,82208;0,36000;0,81000
637;0,81589;0,37000;0,81000
638;0,81589;0,37000;0,81000
639;0,81589;0,37000;0,81000
640;0,81478;0,38000;0,81000
641;0,82335;0,38000;0,80000
642;0,83335;0,37000;0,80000
643;0,84335;0,36000;0,80000
644;0,84335;0,36000;0,81000
645;0,84335;0,36000;0,81000
646;0,84335;0,36000;0,81000
647;0,83945;0,36000;0,80000
648;0,84886;0,35000;0,80000
649;0,84886;0,35000;0,80000
650;0,85425;0,34000;0,80000
651;0,85516;0,33000;0,80000
652;0,85516;0,33000;0,80000
653;0,85516;0,33000;0,80000
654;0,86516;0,32000;0,80000
655;0,85516;0,33000;0,80000
656;0,85516;0,33000;0,80000
657;0,85582;0,32000;0,80000
658;0,84582;0,33000;0,80000
659;0,84868;0,32000;0,81000
660;0,84868;0,32000;0,82000
661;0,84868;0,32000;0,82000
662;0,84735;0,33000;0,82000
663;0,84865;0,33000;0,82000
664;0,85865;0,32000;0,81000
665;0,85799;0,33000;0,81000
666;0,85697;0,33000;0,82000
667;0,85697;0,33000;0,82000
668;0,85697;0,33000;0,82000
669;0,85697;0,33000;0,82000
670;0,85697;0,33000;0,82000
671;0,85840;0,32000;0,83000
672;0,85840;0,32000;0,83000
673;0,86682;0,31000;0,83000
674;0,86682;0,31000;0,83000
675;0,85864;0,32000;0,83000
676;0,85730;0,33000;0,82000
677;0,85821;0,32000;0,83000
678;0,85779;0,32000;0,84000
679;0,85688;0,33000;0,83000
680;0,85688;0,33000;0,83000
681;0,85688;0,33000;0,83000
682;0,85688;0,33000;0,83000
683;0,86688;0,32000;0,83000
684;0,86688;0,32000;0,83000
685;0,86755;0,31000;0,83000
686;0,86755;0,31000;0,82000
687;0,87293;0,30000;0,82000
688;0,87293;0,30000;0,82000
689;0,88246;0,30000;0,82000
690;0,88246;0,30000;0,82000
691;0,87609;0,31000;0,82000
692;0,88609;0,30000;0,82000
693;0,88518;0,31000;0,82000
694;0,88518;0,31000;0,82000
695;0,88518;0,31000;0,81000
696;0,87518;0,32000;0,81000
697;0,88140;0,32000;0,81000
698;0,87712;0,33000;0,81000
699;0,87569;0,34000;0,81000
700;0,86922;0,35000;0,81000
701;0,87477;0,34000;0,82000
702;0,87544;0,33000;0,83000
703;0,87544;0,33000;0,83000
704;0,87544;0,33000;0,83000
705;0,87544;0,33000;0,84000
706;0,87492;0,33000;0,83000
707;0,87492;0,33000;0,83000
708;0,86800;0,34000;0,83000
709;0,86514;0,34000;0,83000
710;0,86181;0,35000;0,82000
711;0,86271;0,34000;0,82000
712;0,86271;0,34000;0,82000
713;0,86271;0,34000;0,82000
714;0,86181;0,35000;0,81000
715;0,86290;0,35000;0,81000
716;0,86290;0,35000;0,81000
717;0,85448;0,36000;0,81000
718;0,86448;0,35000;0,81000
719;0,86448;0,35000;0,81000
720;0,86500;0,34000;0,82000
721;0,86500;0,34000;0,83000
722;0,86500;0,34000;0,83000
723;0,86389;0,35000;0,83000
724;0,86298;0,36000;0,83000
725;0,85298;0,37000;0,83000
726;0,85298;0,37000;0,83000
727;0,85298;0,37000;0,84000
