caseID;earliness;avg_alarms;avg_true_alarms
538;0,94705;0,13000;0,86000
539;0,94705;0,13000;0,87000
540;0,94848;0,12000;0,87000
541;0,94848;0,12000;0,87000
542;0,94848;0,12000;0,86000
543;0,94848;0,12000;0,85000
544;0,94848;0,12000;0,84000
545;0,94848;0,12000;0,83000
546;0,94848;0,12000;0,83000
547;0,94848;0,12000;0,84000
548;0,94705;0,13000;0,84000
549;0,94991;0,12000;0,84000
550;0,95520;0,11000;0,84000
551;0,94905;0,12000;0,84000
552;0,94905;0,12000;0,83000
553;0,95632;0,11000;0,83000
554;0,95632;0,11000;0,83000
555;0,95632;0,11000;0,82000
556;0,95632;0,11000;0,82000
557;0,95632;0,11000;0,82000
558;0,95565;0,12000;0,82000
559;0,95565;0,12000;0,82000
560;0,95565;0,12000;0,82000
561;0,95565;0,12000;0,81000
562;0,95565;0,12000;0,82000
563;0,95565;0,12000;0,82000
564;0,95076;0,12000;0,82000
565;0,95076;0,12000;0,81000
566;0,95076;0,12000;0,81000
567;0,94782;0,13000;0,81000
568;0,94782;0,13000;0,81000
569;0,94782;0,13000;0,81000
570;0,94782;0,13000;0,80000
571;0,94782;0,13000;0,80000
572;0,94639;0,14000;0,79000
573;0,95173;0,13000;0,79000
574;0,94278;0,14000;0,79000
575;0,94278;0,14000;0,79000
576;0,94278;0,14000;0,79000
577;0,94513;0,13000;0,79000
578;0,94513;0,13000;0,79000
579;0,94422;0,14000;0,78000
580;0,94422;0,14000;0,78000
581;0,95280;0,13000;0,78000
582;0,95280;0,13000;0,79000
583;0,95280;0,13000;0,79000
584;0,95280;0,13000;0,78000
585;0,95280;0,13000;0,79000
586;0,95213;0,14000;0,79000
587;0,95213;0,14000;0,80000
588;0,94598;0,15000;0,80000
589;0,94598;0,15000;0,80000
590;0,94598;0,15000;0,79000
591;0,94598;0,15000;0,79000
592;0,94598;0,15000;0,79000
593;0,94598;0,15000;0,78000
594;0,94598;0,15000;0,78000
595;0,94598;0,15000;0,78000
596;0,94598;0,15000;0,78000
597;0,94598;0,15000;0,78000
598;0,93956;0,15000;0,79000
