caseID;earliness;avg_alarms;avg_true_alarms
16806;0,23167;0,79000;0,94000
16807;0,23167;0,79000;0,94000
16808;0,23167;0,79000;0,94000
16809;0,22167;0,80000;0,94000
16810;0,22167;0,80000;0,94000
16811;0,22167;0,80000;0,95000
16812;0,22667;0,79000;0,96000
16813;0,22667;0,79000;0,96000
16814;0,22667;0,79000;0,96000
16815;0,22667;0,79000;0,96000
16816;0,21667;0,80000;0,96000
16817;0,20667;0,81000;0,97000
16818;0,19667;0,82000;0,97000
16819;0,19667;0,82000;0,97000
16820;0,18667;0,83000;0,97000
16821;0,17667;0,84000;0,97000
16822;0,17667;0,84000;0,97000
16823;0,17667;0,84000;0,97000
16824;0,17667;0,84000;0,97000
16825;0,17167;0,84000;0,98000
16826;0,17167;0,84000;0,98000
16827;0,18167;0,83000;0,98000
16828;0,18167;0,83000;0,98000
16829;0,18167;0,83000;0,98000
16830;0,18167;0,83000;0,98000
16831;0,18167;0,83000;0,98000
16832;0,17167;0,84000;0,99000
16833;0,17167;0,84000;0,99000
16834;0,17167;0,84000;0,99000
16835;0,16667;0,84000;1,0000
16836;0,15667;0,85000;1,0000
16837;0,15667;0,85000;1,0000
16838;0,15667;0,85000;1,0000
16839;0,16667;0,84000;1,0000
16840;0,16667;0,84000;1,0000
16841;0,16667;0,84000;1,0000
16842;0,16667;0,84000;1,0000
16843;0,17667;0,83000;1,0000
16844;0,16667;0,84000;1,0000
16845;0,15667;0,85000;1,0000
16846;0,15667;0,85000;1,0000
16847;0,16667;0,84000;1,0000
16848;0,16667;0,84000;1,0000
16849;0,16667;0,84000;1,0000
16850;0,15667;0,85000;1,0000
16851;0,15667;0,85000;1,0000
16852;0,15667;0,85000;1,0000
16853;0,15667;0,85000;1,0000
16854;0,15667;0,85000;1,0000
16855;0,14667;0,86000;1,0000
16856;0,14667;0,86000;1,0000
16857;0,13667;0,87000;1,0000
16858;0,13667;0,87000;1,0000
16859;0,14667;0,86000;1,0000
16860;0,14000;0,86000;1,0000
16861;0,15000;0,85000;1,0000
16862;0,16000;0,84000;1,0000
16863;0,17000;0,83000;1,0000
16864;0,17000;0,83000;1,0000
16865;0,17000;0,83000;1,0000
16866;0,17000;0,83000;1,0000
16867;0,17000;0,83000;1,0000
16868;0,17000;0,83000;1,0000
16869;0,18000;0,82000;1,0000
16870;0,18000;0,82000;1,0000
16871;0,18000;0,82000;1,0000
16872;0,18000;0,82000;1,0000
16873;0,18000;0,82000;1,0000
16874;0,19000;0,81000;1,0000
16875;0,20000;0,80000;1,0000
16876;0,21000;0,79000;1,0000
16877;0,22000;0,78000;1,0000
16878;0,22000;0,78000;1,0000
16879;0,22000;0,78000;1,0000
16880;0,22000;0,78000;1,0000
16881;0,22000;0,78000;1,0000
16882;0,23000;0,77000;1,0000
16883;0,23000;0,77000;1,0000
16884;0,23000;0,77000;1,0000
16885;0,22000;0,78000;1,0000
16886;0,22000;0,78000;1,0000
16887;0,22000;0,78000;1,0000
16888;0,22000;0,78000;1,0000
16889;0,23000;0,77000;1,0000
16890;0,24000;0,76000;1,0000
16891;0,24000;0,76000;1,0000
16892;0,24000;0,76000;1,0000
16893;0,25000;0,75000;1,0000
16894;0,25000;0,75000;1,0000
16895;0,25000;0,75000;1,0000
16896;0,25000;0,75000;1,0000
16897;0,26000;0,74000;1,0000
16898;0,27000;0,73000;1,0000
16899;0,27000;0,73000;1,0000
16900;0,27000;0,73000;1,0000
16901;0,27000;0,73000;1,0000
16902;0,27000;0,73000;1,0000
16903;0,27000;0,73000;1,0000
16904;0,28000;0,72000;1,0000
16905;0,28000;0,72000;1,0000
16906;0,28000;0,72000;1,0000
16907;0,28000;0,72000;1,0000
16908;0,28000;0,72000;1,0000
16909;0,28000;0,72000;1,0000
16910;0,28000;0,72000;1,0000
16911;0,27000;0,73000;1,0000
16912;0,27000;0,73000;1,0000
16913;0,28000;0,72000;1,0000
16914;0,29000;0,71000;1,0000
16915;0,30000;0,70000;1,0000
16916;0,31000;0,69000;1,0000
16917;0,31000;0,69000;1,0000
16918;0,32000;0,68000;1,0000
16919;0,32000;0,68000;1,0000
16920;0,32000;0,68000;1,0000
16921;0,32000;0,68000;1,0000
16922;0,33000;0,67000;1,0000
16923;0,33000;0,67000;1,0000
16924;0,33000;0,67000;1,0000
16925;0,33000;0,67000;1,0000
16926;0,33000;0,67000;1,0000
16927;0,32000;0,68000;1,0000
16928;0,32000;0,68000;1,0000
16929;0,31000;0,69000;1,0000
