caseID;earliness;avg_alarms;avg_true_alarms
16806;0,77167;0,24000;0,39000
16807;0,78167;0,23000;0,38000
16808;0,78167;0,23000;0,38000
16809;0,78167;0,23000;0,38000
16810;0,78167;0,23000;0,38000
16811;0,78167;0,23000;0,37000
16812;0,78167;0,23000;0,37000
16813;0,78167;0,23000;0,38000
16814;0,78167;0,23000;0,38000
16815;0,79167;0,22000;0,37000
16816;0,80167;0,21000;0,36000
16817;0,79167;0,22000;0,37000
16818;0,79167;0,22000;0,36000
16819;0,79167;0,22000;0,36000
16820;0,79167;0,22000;0,35000
16821;0,79167;0,22000;0,35000
16822;0,79167;0,22000;0,34000
16823;0,79167;0,22000;0,33000
16824;0,80167;0,21000;0,32000
16825;0,80167;0,21000;0,32000
16826;0,81167;0,20000;0,31000
16827;0,80667;0,20000;0,32000
16828;0,80667;0,20000;0,32000
16829;0,81667;0,19000;0,32000
16830;0,81667;0,19000;0,32000
16831;0,81667;0,19000;0,32000
16832;0,81667;0,19000;0,32000
16833;0,82667;0,18000;0,31000
16834;0,83667;0,17000;0,30000
16835;0,83667;0,17000;0,30000
16836;0,82667;0,18000;0,31000
16837;0,82667;0,18000;0,32000
16838;0,82667;0,18000;0,31000
16839;0,82667;0,18000;0,31000
16840;0,82667;0,18000;0,31000
16841;0,82667;0,18000;0,32000
16842;0,81667;0,19000;0,33000
16843;0,81667;0,19000;0,33000
16844;0,80667;0,20000;0,34000
16845;0,79667;0,21000;0,34000
16846;0,79667;0,21000;0,33000
16847;0,78667;0,22000;0,33000
16848;0,77667;0,23000;0,34000
16849;0,76667;0,24000;0,34000
16850;0,75667;0,25000;0,35000
16851;0,74667;0,26000;0,36000
16852;0,74667;0,26000;0,35000
16853;0,73667;0,27000;0,36000
16854;0,72667;0,28000;0,37000
16855;0,71667;0,29000;0,38000
16856;0,70667;0,30000;0,39000
16857;0,69667;0,31000;0,39000
16858;0,68667;0,32000;0,40000
16859;0,67667;0,33000;0,40000
16860;0,66667;0,34000;0,41000
16861;0,66667;0,34000;0,42000
16862;0,67000;0,33000;0,41000
16863;0,67000;0,33000;0,42000
16864;0,67000;0,33000;0,43000
16865;0,67000;0,33000;0,44000
16866;0,67000;0,33000;0,44000
16867;0,67000;0,33000;0,44000
16868;0,67000;0,33000;0,44000
16869;0,67000;0,33000;0,44000
16870;0,67000;0,33000;0,44000
16871;0,68000;0,32000;0,44000
16872;0,69000;0,31000;0,43000
16873;0,69000;0,31000;0,43000
16874;0,68000;0,32000;0,44000
16875;0,68000;0,32000;0,44000
16876;0,69000;0,31000;0,44000
16877;0,69000;0,31000;0,45000
16878;0,70000;0,30000;0,45000
16879;0,70000;0,30000;0,46000
16880;0,69000;0,31000;0,47000
16881;0,69000;0,31000;0,47000
16882;0,68000;0,32000;0,48000
16883;0,67000;0,33000;0,49000
16884;0,67000;0,33000;0,48000
16885;0,66000;0,34000;0,49000
16886;0,65000;0,35000;0,50000
16887;0,64000;0,36000;0,50000
16888;0,64000;0,36000;0,50000
16889;0,63000;0,37000;0,51000
16890;0,62000;0,38000;0,52000
16891;0,62000;0,38000;0,51000
16892;0,62000;0,38000;0,52000
16893;0,61000;0,39000;0,53000
16894;0,61000;0,39000;0,53000
16895;0,60000;0,40000;0,53000
16896;0,59000;0,41000;0,54000
16897;0,59000;0,41000;0,54000
16898;0,58000;0,42000;0,55000
16899;0,58000;0,42000;0,54000
16900;0,57000;0,43000;0,54000
16901;0,57000;0,43000;0,54000
16902;0,56000;0,44000;0,55000
16903;0,55000;0,45000;0,56000
16904;0,55000;0,45000;0,56000
16905;0,55000;0,45000;0,56000
16906;0,55000;0,45000;0,57000
16907;0,55000;0,45000;0,57000
16908;0,54000;0,46000;0,58000
16909;0,54000;0,46000;0,58000
16910;0,53000;0,47000;0,59000
16911;0,52000;0,48000;0,60000
16912;0,51000;0,49000;0,61000
16913;0,50000;0,50000;0,61000
16914;0,51000;0,49000;0,62000
16915;0,51000;0,49000;0,63000
16916;0,51000;0,49000;0,64000
16917;0,52000;0,48000;0,64000
16918;0,51000;0,49000;0,64000
16919;0,50000;0,50000;0,65000
16920;0,50000;0,50000;0,66000
16921;0,49000;0,51000;0,65000
16922;0,49000;0,51000;0,65000
16923;0,49000;0,51000;0,65000
16924;0,49000;0,51000;0,66000
16925;0,49000;0,51000;0,66000
16926;0,49000;0,51000;0,66000
16927;0,50000;0,50000;0,65000
16928;0,50000;0,50000;0,65000
16929;0,50000;0,50000;0,64000
16930;0,50000;0,50000;0,64000
16931;0,50000;0,50000;0,63000
16932;0,50000;0,50000;0,64000
16933;0,49000;0,51000;0,65000
16934;0,49000;0,51000;0,65000
16935;0,49000;0,51000;0,65000
16936;0,50000;0,50000;0,64000
16937;0,51000;0,49000;0,64000
16938;0,50000;0,50000;0,65000
16939;0,50000;0,50000;0,65000
16940;0,49000;0,51000;0,64000
16941;0,49000;0,51000;0,63000
16942;0,50000;0,50000;0,63000
16943;0,50000;0,50000;0,63000
16944;0,50000;0,50000;0,63000
16945;0,50000;0,50000;0,63000
16946;0,49000;0,51000;0,64000
16947;0,49000;0,51000;0,63000
